K2 EPIC,TIC,Gaia ID,RA,Dec,KepMag,Tmag,G,Teff,Radius,Dist,Dist_minus_1_sigma,Dist_plus_1_sigma,Simbad ID,Simbad Type
245933970,4582619,2413399130723911680,348.676923,-11.51899,15.756,15.234,15.831388,5377.0,,5011.52547910737,4224.44287468944,6019.72182109453,,
245934168,4602538,2413400024077137408,348.80047,-11.509507,15.764,14.86,15.711224,4405.38,0.68,544.21567639033,523.101858139796,567.070069835163,,
245926035,5725835,2413054502548167296,347.945237,-11.910676,15.786,14.877,15.80547,4191.0,0.69,492.51238595199,468.137585287792,519.510484026619,,
245927930,4579900,2413012102631006592,348.333706,-11.818319,15.811,14.907,15.744432,4442.0,0.57,473.644337644508,455.784800413196,492.931933019512,,
245930635,404244680,2413064776109936512,348.156779,-11.685325,15.823,15.277,15.997343,5171.63,,,,,,
245931391,4579939,2413437712415183744,348.40598,-11.646281,15.824,15.061,15.871083,4573.5,0.62,597.431696211475,575.878065422437,620.628041688518,,
245931836,4582595,2413391674660651136,348.602686,-11.623472,15.829,15.19,15.713645,5672.5,0.9,1330.76049240787,1228.31833689684,1451.15749188487,,
245932685,4579953,2413438953660636544,348.381447,-11.583058,15.833,15.289,16.564655,3732.0,,226.159565587713,218.195850014487,234.715299192728,,
245931110,4582476,2413390540789274240,348.495521,-11.661499,15.858,15.209,15.805002,5368.0,0.63,880.341676576036,834.970594987808,930.806764272467,,
245932257,4579795,2413067005197879296,348.252961,-11.602772,15.895,15.333,15.98433,5043.0,0.88,1129.13922669603,1044.64655231451,1228.01673299758,,
245930965,4579928,2413437265738582912,348.410048,-11.669062,15.903,14.805,15.935524,3486.0,0.55,229.30898490453,226.069275395237,232.641185046763,,
245930966,4579929,2413437059580152576,348.42354,-11.668982,15.924,15.289,16.015936,4888.67,0.8,973.871186734289,884.362609447843,1082.80102766643,,
245930808,4582479,2413390467774924800,348.459912,-11.677093,15.929,15.495,16.764416,3458.25,,187.39442598905,184.029081170073,190.882856596162,,
245930322,4582487,2413389475637384192,348.520435,-11.700859,15.931,15.474,16.0434,5382.33,0.83,1274.80652472083,1172.81989504551,1395.49010949446,,
245941221,49529597,2413527052029739008,349.348675,-11.167561,15.944,15.276,15.952815,5034.35,0.66,845.744533806223,790.164486356346,909.516086279224,,
245926296,4520660,2413055292822152064,347.910538,-11.897635,15.949,15.284,15.973387,4959.5,0.77,955.704351030603,908.861224924737,1007.52170940277,,
245922798,5738930,2412978567526328448,348.025869,-12.086726,15.952,14.985,15.843068,4385.0,0.77,643.051207823666,617.719658254405,670.505000495671,,
245934421,4582442,2413447028199202688,348.523035,-11.496218,16.034,14.937,15.911157,4207.64,,312.827962871041,307.202296135797,318.659659321061,,
